match_label,event_id,match_id,period,time_start,time_end,minute_start,second_start,frame_start,frame_end,event_type,event_subtype,player_id,player_name,player_in_possession_id,player_in_possession_name,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_x_end,player_in_possession_y_end,team_id,team_shortname,x_start,y_start,x_end,y_end,channel_start,channel_end,third_start,third_end,penalty_area_start,penalty_area_end,distance_covered,speed_avg,speed_avg_band,trajectory_direction,pass_outcome,pass_distance,pass_range,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,n_passing_options,n_off_ball_runs,n_opponents_bypassed,associated_off_ball_run_event_id,associated_off_ball_run_subtype,team_in_possession_phase_type,team_out_of_possession_phase_type
Melbourne V FC v Auckland FC,9_1,2017461,1,00:09.6,00:11.3,0,9,2606,2623,on_ball_engagement,pressure,14736,L. Verstraete,11117.0,Z. Machach,,,,,4177,Auckland FC,-23.54,-17.76,-25.54,-25.82,half_space_right,wide_right,defensive_third,defensive_third,False,False,7.99,17.84,running,sideway_right,,,,,,,,,,,,,,,,,finish,low_block
Melbourne V FC v Auckland FC,9_2,2017461,1,00:09.6,00:11.3,0,9,2610,2623,on_ball_engagement,recovery_press,133501,L. Rogerson,11117.0,Z. Machach,,,,,4177,Auckland FC,-17.36,-23.02,-22.43,-27.09,wide_right,wide_right,middle_third,defensive_third,False,False,7.9,17.72,running,backward,,,,,,,,,,,,,,,,,finish,low_block
Melbourne V FC v Auckland FC,9_3,2017461,1,00:11.5,00:15.8,0,11,2625,2668,on_ball_engagement,recovery_press,4322,H. Sakai,50955.0,N. Velupillay,,,,,4177,Auckland FC,-26.51,-30.53,-48.64,-13.87,wide_right,half_space_right,defensive_third,defensive_third,False,True,27.67,25.04,sprinting,backward,,,,,,,,,,,,,,,,,finish,low_block
Melbourne V FC v Auckland FC,9_4,2017461,1,00:11.5,00:15.8,0,11,2625,2668,on_ball_engagement,recovery_press,14736,L. Verstraete,50955.0,N. Velupillay,,,,,4177,Auckland FC,-26.22,-26.48,-45.93,-16.8,wide_right,half_space_right,defensive_third,defensive_third,False,True,23.77,20.2,hsr,backward,,,,,,,,,,,,,,,,,finish,low_block
Melbourne V FC v Auckland FC,9_5,2017461,1,00:11.5,00:15.0,0,11,2628,2660,on_ball_engagement,recovery_press,133501,L. Rogerson,50955.0,N. Velupillay,,,,,4177,Auckland FC,-24.83,-27.96,-41.43,-21.44,wide_right,wide_right,defensive_third,defensive_third,False,False,20.35,21.52,hsr,backward,,,,,,,,,,,,,,,,,finish,low_block
Melbourne V FC v Auckland FC,1_3,2017461,1,00:11.9,00:15.1,0,11,2629,2661,off_ball_run,support,11117,Z. Machach,50955.0,N. Velupillay,28.76,32.44,46.74,19.22,868,Melbourne V FC,26.47,26.78,40.45,13.47,wide_left,half_space_left,attacking_third,attacking_third,False,True,19.73,21.95,hsr,forward,,,,0.0,0.0,,1.0,1.0,0.0519,0.2107,0.9364,,,,,,finish,low_block
Melbourne V FC v Auckland FC,1_4,2017461,1,00:12.5,00:14.8,0,12,2635,2658,off_ball_run,cross_receiver,11885,D. Arzani,50955.0,N. Velupillay,32.48,31.1,45.3,20.59,868,Melbourne V FC,26.92,2.09,38.6,7.52,center,center,attacking_third,attacking_third,False,True,12.59,20.13,hsr,forward,,,,0.0,0.0,,1.0,1.0,0.0403,0.4421,0.8486,,,,,,finish,low_block
Melbourne V FC v Auckland FC,1_5,2017461,1,00:12.6,00:15.0,0,12,2636,2660,off_ball_run,cross_receiver,29075,N. Vergos,50955.0,N. Velupillay,33.15,30.77,46.26,19.67,868,Melbourne V FC,35.84,3.45,46.16,-2.24,center,center,attacking_third,attacking_third,False,True,11.8,17.58,running,forward,,,,0.0,0.0,,1.0,1.0,0.1566,0.3302,0.6392,,,,,,finish,low_block
Melbourne V FC v Auckland FC,8_5,2017461,1,00:12.7,00:15.8,0,12,2637,2668,player_possession,,50955,N. Velupillay,,,,,,,868,Melbourne V FC,33.83,30.4,50.01,16.18,wide_left,half_space_left,attacking_third,attacking_third,False,True,20.96,25.05,sprinting,forward,unsuccessful,,,,,,,,,,,4.0,3.0,-8.0,,,finish,low_block
Melbourne V FC v Auckland FC,7_5,2017461,1,00:12.7,00:15.8,0,12,2637,2668,passing_option,,11117,Z. Machach,50955.0,N. Velupillay,33.83,30.4,50.01,16.18,868,Melbourne V FC,30.17,24.89,41.85,11.84,wide_left,half_space_left,attacking_third,attacking_third,False,True,17.46,20.42,hsr,sideway_right,,,,0.0,0.0,,1.0,1.0,0.0519,0.2107,0.9364,,,-4.0,1_3,support,finish,low_block
Melbourne V FC v Auckland FC,7_6,2017461,1,00:12.7,00:15.8,0,12,2637,2668,passing_option,,29075,N. Vergos,50955.0,N. Velupillay,33.83,30.4,50.01,16.18,868,Melbourne V FC,36.23,3.25,47.74,-4.33,center,center,attacking_third,attacking_third,True,True,13.78,16.18,running,forward,,,,0.0,0.0,,1.0,1.0,0.1566,0.3302,0.6392,,,0.0,1_5,cross_receiver,finish,low_block
